player,team,deep_progressions_p90,pass_completion_%,prog_passes_p90,key_passes_p90
Aaron Mooy,Australia,9.0,78.08219178082192,24.39473684210526,0.23684210526315788
Aaron Ramsey,Wales,4.877167630057804,78.18181818181819,15.281791907514455,0.3251445086705203
Adrien Rabiot,France,7.094295004433934,86.31578947368422,22.52438663907774,0.17735737511084834
Akram Hassan Afif,Qatar,5.684210526315789,84.93975903614458,23.052631578947366,1.5789473684210527
Alexis Mac Allister,Argentina,5.130153904617139,89.2988929889299,21.204636139084176,1.1970359110773325
André-Frank Zambo Anguissa,Cameroon,6.991799741044455,85.82089552238806,22.640113447191563,0.0
Antoine Griezmann,France,7.480988032777221,78.94736842105263,29.446442256676296,2.7058892884513353
Aurélien Djani Tchouaméni,France,9.054521852012115,91.70212765957447,25.557118130679356,0.8762440501947208
Axel Witsel,Belgium,3.473684210526316,96.02272727272727,15.789473684210526,0.3157894736842105
Azzedine Ounahi,Morocco,6.809965529804108,82.77153558052434,17.10058010817476,0.9079954039738811
Bernardo Mota Veiga de Carvalho e Silva,Portugal,12.098400322624007,88.6986301369863,32.42371286463234,1.2098400322624008
Bruno Miguel Borges Fernandes,Portugal,10.896860986547082,80.51948051948052,32.93273542600896,1.4529147982062778
Carlos Henrique Casimiro,Brazil,8.999999999999998,84.10852713178295,29.36842105263158,0.9473684210526315
Christian Dannemann Eriksen,Denmark,10.421052631578947,83.54978354978356,36.315789473684205,2.8421052631578947
Cristiano Ronaldo dos Santos Aveiro,Portugal,2.0955760062091144,74.44444444444444,11.076616032819604,1.1974720035480653
Daichi Kamada,Japan,4.598507238391024,79.8076923076923,15.418524269899315,0.2705004257877073
Daniel Olmo Carvajal,Spain,4.472342094939192,81.63265306122449,24.009415457041975,0.7061592781482934
Declan Rice,England,6.961401380147114,93.57798165137615,22.726928035186166,0.2047470994160916
Ellyes Joris Skhiri,Tunisia,4.7368421052631575,85.15625,18.63157894736842,0.631578947368421
Enzo Fernandez,Argentina,11.444776119402984,88.51063829787233,30.465671641791044,0.8059701492537313
Federico Santiago Valverde Dipetta,Uruguay,14.210526315789473,81.72043010752688,29.36842105263158,1.263157894736842
Frenkie de Jong,Netherlands,9.270717836832505,89.83516483516483,27.03959369076147,0.5794198648020316
Granit Xhaka,Switzerland,8.763157894736842,87.91666666666667,22.5,0.47368421052631576
Grzegorz Krychowiak,Poland,7.338024751273963,76.37795275590551,15.98641106527542,0.5241446250909974
Hakim Ziyech,Morocco,7.856519323863186,70.0,24.569478612808506,0.8570748353305293
Hidemasa Morita,Japan,6.842661034846885,79.5031055900621,21.383315733896517,0.8553326293558606
Idrissa Gana Gueye,Senegal,5.997194295066636,80.91603053435115,23.673135375263037,0.31564180500350714
In-Beom Hwang,South Korea,11.637931034482758,80.5668016194332,35.17241379310345,0.7758620689655173
Jackson Irvine,Australia,2.682563338301043,82.94573643410853,12.925077902723208,0.2438693943910039
Jawad El Yamiq,Morocco,3.0676589217746972,89.375,18.712719422825653,0.0
Jordan Brian Henderson,England,4.473372781065089,84.93975903614458,25.24260355029586,1.2781065088757397
Joshua Kimmich,Germany,14.210526315789473,84.50184501845018,46.10526315789473,2.526315789473684
Jude Bellingham,England,7.716371220020856,88.0,22.732012513034412,0.6256517205422316
Kevin De Bruyne,Belgium,11.368421052631579,71.42857142857143,29.684210526315788,2.526315789473684
Lisandro Martínez,Argentina,6.412997007268063,85.71428571428571,17.699871740059855,0.0
Lucas Tolentino Coelho de Lima,Brazil,5.336656211060027,85.14851485148515,22.738796029734026,1.1601426545782667
Luis Gerardo Chávez Magallón,Mexico,9.157894736842104,72.22222222222221,24.94736842105263,1.263157894736842
Luka Modrić,Croatia,12.294148895803293,84.3351548269581,40.297488047355245,0.8196099263868863
Marcelo Brozović,Croatia,10.942921182719765,89.22495274102079,30.673339678835706,0.8290091805090731
Marcos Javier Acuña,Argentina,4.540827616729365,78.3410138248848,25.811020137198494,1.1949546359814116
Mateo Kovačić,Croatia,10.959819134724075,91.22807017543859,26.359058678450307,1.2485869900318565
Mathew Leckie,Australia,4.51771653543307,66.99029126213593,15.944881889763778,0.26574803149606296
Mohammed Kanoo,Saudi Arabia,6.320224719101123,81.37931034482759,24.964887640449437,0.0
Moisés Isaac Caicedo Corozo,Ecuador,6.1180679785330945,83.11688311688312,21.5742397137746,0.0
Nampalys Mendy,Senegal,6.247469196506044,89.50617283950618,19.36715450916874,0.31237345982530224
Pablo Martín Páez Gavira,Spain,4.649027148022729,88.23529411764706,17.356368019284854,0.6198702864030305
Pedro González López,Spain,22.136547752671905,92.72300469483568,53.4966570689571,1.317651651944756
Pierre-Emile Højbjerg,Denmark,10.421052631578947,89.28571428571429,28.421052631578945,0.3157894736842105
Piotr Zieliński,Poland,7.696088067623354,81.04575163398692,21.495970119913505,1.857676430115982
Remo Freuler,Switzerland,5.050206733608977,84.56375838926175,16.479621972829296,0.0
Rodrigo Javier De Paul,Argentina,10.87189949532911,84.36944937833037,34.645119725115435,1.0147106195640503
Rúben Diogo Da Silva Neves,Portugal,10.46955468039988,91.8918918918919,30.42714328991215,0.9815207512874886
Saud Abdullah Abdul Hamid,Saudi Arabia,7.578947368421052,76.47058823529412,26.842105263157894,0.631578947368421
Selim Amallah,Morocco,2.1296734500709897,79.54545454545455,6.814955040227167,0.6389020350212968
Sergio Busquets i Burgos,Spain,8.783008036739382,91.37931034482759,30.740528128587833,0.7749712973593572
Sofyan Amrabat,Morocco,4.880833452262023,84.82972136222911,15.926930212644496,0.25688597117168543
Thomas Teye Partey,Ghana,12.0,84.5303867403315,26.842105263157894,0.631578947368421
Tyler Adams,United States,9.0,91.44981412639405,24.63157894736842,0.47368421052631576
Wataru Endo,Japan,10.119250425894379,81.81818181818183,26.37137989778535,1.2265758091993186
Weston McKennie,United States,12.173277280204715,80.13698630136986,29.61067446536282,0.9870224821787608
Woo-Young Jung,South Korea,12.93309915376018,86.0576923076923,28.740220341689287,0.5748044068337858
Yahia Attiyat allah,Morocco,4.846373139056065,70.28985507246377,22.806461830852072,0.8552423186569528
Yeltsin Ignacio Tejeda Valverde,Costa Rica,2.8701352388826553,80.61224489795919,12.756156617256247,0.0
Yunus Dimoara Musah,United States,8.01670146137787,84.61538461538461,22.79749478079332,0.7515657620041754
